name,gender,probability,n
Alexsanteri,male,1,14
Aleyna,female,1,21
Alf,male,1,1254
Alfa,female,1,42
Alf-Erik,male,1,24
Alfhild,female,1,138
Alfhilda,female,1,31
Alfiina,female,1,26
Alfina,female,1,11
Alfons,male,1,752
Alfonso,male,1,39
Alfred,male,1,2697
Alfredo,male,1,37
Alfrida,female,1,45
Algot,male,1,210
Alho,male,1,43
Ali,male,0.865653738504598,2501
Alia,female,1,52
Alica,female,1,56
Alice,female,1,5183
Alicia,female,1,580
Alicja,female,1,18
Alida,female,1,124
Alieu,male,1,12
Aliida,female,1,27
Aliina,female,1,2268
Aliisa,female,1,5390
Aliise,female,1,68
Aliisi,female,1,78
Alina,female,1,9014
Alinda,female,1,132
Aline,female,1,112
Alireza,male,1,19
Alisa,female,1,6795
Alise,female,1,489
Alisha,female,1,30
Alisi,female,1,13
Alisia,female,1,80
Alison,female,1,45
Alissa,female,1,548
Alistair,male,1,14
Alita,female,1,10
Alix,female,1,18
Aliya,female,1,11
Aliyah,female,1,20
Aliza,female,1,12
Alja,female,1,13
Alje,male,1,12
Aljona,female,1,14
Alku,male,1,10
Alla,female,1,189
Allan,male,1,10839
Allani,male,1,68
Allari,male,1,19
Allegra,female,1,20
Allen,male,1,49
Alli,female,1,3518
Allida,female,1,18
Alliina,female,1,10
Allison,female,1,21
Allu,male,1,35
Alma,female,1,3288
Almar,male,1,10
Almaz,female,1,11
Almer,male,1,18
Almida,female,1,12
Almiina,female,1,26
Almina,female,1,12
Almir,male,1,16
Almira,female,1,15
Alois,male,1,17
Alon,male,1,11
Alona,female,1,18
Alonso,male,1,17
Alonzo,male,1,15
Alper,male,1,23
Alpert,male,1,17
Alpertti,male,1,164
Alpha,male,1,10
Alpi,male,1,175
Alpiin,male,1,32
Alpin,male,1,13
Alpo,male,1,5198
Alrik,male,1,16
Althea,female,1,18
Altti,male,1,1082
Alva,female,1,695
Alvar,male,1,3624
Alvari,male,1,1137
Alvaro,male,1,32
Alve,male,1,29
